year,biasmo1,hate_crimes,merge_year,YEAR,Population,hate_crimes_per_100000
1992,11,1349,1990,1990,248107628,0.5437156490811318
1992,12,2312,1990,1990,248107628,0.9318536550597307
1992,13,26,1990,1990,248107628,0.010479323110533303
1992,14,222,1990,1990,248107628,0.08947729732839975
1992,15,145,1990,1990,248107628,0.05844237888566651
1992,21,1020,1990,1990,248107628,0.4111119066439989
1992,22,18,1990,1990,248107628,0.00725491599959998
1992,23,28,1990,1990,248107628,0.011285424888266634
1992,24,15,1990,1990,248107628,0.0060457633329999835
1992,25,69,1990,1990,248107628,0.027810511331799924
1992,26,14,1990,1990,248107628,0.005642712444133317
1992,27,1,1990,1990,248107628,4.0305088886666556e-4
1992,32,371,1990,1990,248107628,0.14953187976953292
1992,33,301,1990,1990,248107628,0.12131831754886634
1992,41,561,1990,1990,248107628,0.22611154865419938
1992,42,93,1990,1990,248107628,0.037483732664599895
1992,43,100,1990,1990,248107628,0.040305088886666555
1992,44,14,1990,1990,248107628,0.005642712444133317
1992,45,3,1990,1990,248107628,0.0012091526665999966
1993,11,1479,1990,1990,248107628,0.5961122646337984
1993,12,2821,1990,1990,248107628,1.1370065574928634
1993,13,28,1990,1990,248107628,0.011285424888266634
1993,14,260,1990,1990,248107628,0.10479323110533305
1993,15,162,1990,1990,248107628,0.06529424399639981
1993,21,1141,1990,1990,248107628,0.4598810641968654
1993,22,32,1990,1990,248107628,0.012897628443733298
1993,23,30,1990,1990,248107628,0.012091526665999967
1993,24,13,1990,1990,248107628,0.005239661555266652
1993,25,64,1990,1990,248107628,0.025795256887466596
1993,26,14,1990,1990,248107628,0.005642712444133317
1993,27,3,1990,1990,248107628,0.0012091526665999966
1993,32,417,1990,1990,248107628,0.16807222065739955
1993,33,279,1990,1990,248107628,0.11245119799379968
1993,41,615,1990,1990,248107628,0.24787629665299932
1993,42,121,1990,1990,248107628,0.04876915755286653
1993,43,94,1990,1990,248107628,0.03788678355346656
1993,44,28,1990,1990,248107628,0.011285424888266634
1993,45,2,1990,1990,248107628,8.061017777333311e-4
1994,11,1015,1990,1990,248107628,0.40909665219966557
1994,12,2178,1990,1990,248107628,0.8778448359515976
1994,13,25,1990,1990,248107628,0.010076272221666639
1994,14,211,1990,1990,248107628,0.08504373755086643
1994,15,127,1990,1990,248107628,0.05118746288606653
1994,21,919,1990,1990,248107628,0.37040376686846566
1994,22,18,1990,1990,248107628,0.00725491599959998
1994,23,30,1990,1990,248107628,0.012091526665999967
1994,24,17,1990,1990,248107628,0.006851865110733314
1994,25,67,1990,1990,248107628,0.02700440955406659
1994,26,14,1990,1990,248107628,0.005642712444133317
1994,27,3,1990,1990,248107628,0.0012091526665999966
1994,32,340,1990,1990,248107628,0.13703730221466628
1994,33,303,1990,1990,248107628,0.12212441932659966
1994,41,501,1990,1990,248107628,0.20192849532219945
1994,42,100,1990,1990,248107628,0.040305088886666555
1994,43,64,1990,1990,248107628,0.025795256887466596
1994,44,14,1990,1990,248107628,0.005642712444133317
1994,45,7,1990,1990,248107628,0.0028213562220666586
1995,11,1229,1990,1990,248107628,0.49534954241713197
1995,12,2990,1990,1990,248107628,1.20512215771133
1995,13,41,1990,1990,248107628,0.016525086443533288
1995,14,355,1990,1990,248107628,0.14308306554766628
1995,15,221,1990,1990,248107628,0.08907424643953309
1995,21,1058,1990,1990,248107628,0.4264278404209321
1995,22,31,1990,1990,248107628,0.012494577554866632
1995,23,36,1990,1990,248107628,0.01450983199919996
1995,24,29,1990,1990,248107628,0.0116884757771333
1995,25,101,1990,1990,248107628,0.04070813977553322
1995,26,20,1990,1990,248107628,0.00806101777733331
1995,27,1,1990,1990,248107628,4.0305088886666556e-4
1995,32,516,1990,1990,248107628,0.20797425865519942
1995,33,298,1990,1990,248107628,0.12010916488226633
1995,41,736,1990,1990,248107628,0.29664545420586586
