year,biasmo1,hate_crimes
1992,11,1349
1992,12,2312
1992,13,26
1992,14,222
1992,15,145
1992,21,1020
1992,22,18
1992,23,28
1992,24,15
1992,25,69
1992,26,14
1992,27,1
1992,32,371
1992,33,301
1992,41,561
1992,42,93
1992,43,100
1992,44,14
1992,45,3
1993,11,1479
1993,12,2821
1993,13,28
1993,14,260
1993,15,162
1993,21,1141
1993,22,32
1993,23,30
1993,24,13
1993,25,64
1993,26,14
1993,27,3
1993,32,417
1993,33,279
1993,41,615
1993,42,121
1993,43,94
1993,44,28
1993,45,2
1994,11,1015
1994,12,2178
1994,13,25
1994,14,211
1994,15,127
1994,21,919
1994,22,18
1994,23,30
1994,24,17
1994,25,67
1994,26,14
1994,27,3
1994,32,340
1994,33,303
1994,41,501
1994,42,100
1994,43,64
1994,44,14
1994,45,7
1995,11,1229
1995,12,2990
1995,13,41
1995,14,355
1995,15,221
1995,21,1058
1995,22,31
1995,23,36
1995,24,29
1995,25,101
1995,26,20
1995,27,1
1995,32,516
1995,33,298
1995,41,736
1995,42,146
1995,43,103
1995,44,17
1995,45,18
1996,11,1108
1996,12,3675
1996,13,51
1996,14,356
1996,15,211
1996,21,1109
1996,22,35
1996,23,75
1996,24,27
1996,25,129
1996,26,24
1996,27,2
1996,32,564
1996,33,377
1996,41,757
1996,42,150
1996,43,84
1996,44,15
1996,45,10
1997,11,993
1997,12,3120
1997,13,36
1997,14,347
1997,15,214
1997,21,1088
1997,22,31
1997,23,53
1997,24,28
1997,25,159
1997,26,24
1997,27,3
1997,32,491
1997,33,345
1997,41,762
1997,42,187
1997,43,134
1997,44,12
1997,45,9
1997,51,9
1997,52,3
1998,11,792
1998,12,2902
1998,13,52
1998,14,294
1998,15,283
1998,21,1080
1998,22,61
1998,23,59
1998,24,21
1998,25,125
1998,26,41
1998,27,2
1998,32,482
1998,33,272
1998,41,851
1998,42,223
1998,43,157
1998,44,12
1998,45,17
1998,51,13
1998,52,12
1999,11,781
1999,12,2960
1999,13,47
1999,14,298
1999,15,212
1999,21,1109
1999,22,36
1999,23,48
1999,24,32
1999,25,151
1999,26,31
1999,27,4
1999,32,466
1999,33,363
1999,41,916
1999,42,187
1999,43,178
1999,44,14
1999,45,23
1999,51,10
1999,52,9
2000,11,877
2000,12,2887
2000,13,58
2000,14,281
2000,15,240
2000,21,1110
2000,22,56
2000,23,59
2000,24,28
2000,25,172
2000,26,44
2000,27,4
2000,32,557
2000,33,354
2000,41,896
2000,42,179
2000,43,183
2000,44,22
2000,45,20
2000,51,20
2000,52,16
2001,11,895
2001,12,2900
2001,13,80
2001,14,280
2001,15,218
2001,21,1044
2001,22,38
2001,23,35
2001,24,481
2001,25,181
2001,26,46
2001,27,5
2001,32,597
2001,33,1501
2001,41,980
2001,42,205
2001,43,174
2001,44,18
2001,45,17
2001,51,12
2001,52,23
2002,11,719
2002,12,2487
2002,13,62
2002,14,217
2002,15,158
2002,21,931
2002,22,53
2002,23,55
2002,24,155
2002,25,198
2002,26,31
2002,27,3
2002,32,481
2002,33,622
2002,41,825
2002,42,172
2002,43,223
2002,44,10
2002,45,15
2002,51,20
2002,52,25
2003,11,830
2003,12,2550
2003,13,77
2003,14,231
2003,15,159
2003,21,927
2003,22,76
2003,23,49
2003,24,150
2003,25,109
2003,26,24
2003,27,9
2003,32,426
2003,33,600
2003,41,783
2003,42,187
2003,43,247
2003,44,14
2003,45,8
2003,51,24
2003,52,9
2004,11,830
2004,12,2735
2004,13,83
2004,14,218
2004,15,182
2004,21,954
2004,22,57
2004,23,38
2004,24,156
2004,25,128
2004,26,35
2004,27,6
2004,32,475
2004,33,497
2004,41,739
2004,42,164
2004,43,245
2004,44,33
2004,45,17
2004,51,23
2004,52,34
2005,11,828
2005,12,2631
2005,13,79
2005,14,199
2005,15,183
2005,21,849
2005,22,58
2005,23,57
2005,24,128
2005,25,93
2005,26,39
2005,27,4
2005,32,522
2005,33,422
2005,41,622
2005,42,155
2005,43,195
2005,44,21
2005,45,25
2005,51,21
2005,52,32
2006,11,891
2006,12,2641
2006,13,60
2006,14,183
2006,15,229
2006,21,968
2006,22,76
2006,23,59
2006,24,156
2006,25,124
2006,26,74
2006,27,7
2006,32,576
2006,33,408
2006,41,747
2006,42,163
2006,43,238
2006,44,26
2006,45,21
2006,51,17
2006,52,62
2007,11,750
2007,12,2659
2007,13,61
2007,14,188
2007,15,214
2007,21,970
2007,22,61
2007,23,57
2007,24,115
2007,25,130
2007,26,62
2007,27,6
2007,32,595
2007,33,412
2007,41,772
2007,42,145
2007,43,304
2007,44,22
2007,45,22
2007,51,20
2007,52,59
2008,11,717
2008,12,2877
2008,13,54
2008,14,137
2008,15,209
2008,21,1013
2008,22,75
2008,23,56
2008,24,105
2008,25,191
2008,26,65
2008,27,14
2008,32,561
2008,33,333
2008,41,776
2008,42,154
2008,43,308
2008,44,33
2008,45,27
2008,51,22
2008,52,56
2009,11,539
2009,12,2297
2009,13,68
2009,14,128
2009,15,180
2009,21,932
2009,22,52
2009,23,38
2009,24,107
2009,25,111
2009,26,48
2009,27,10
2009,32,486
2009,33,294
2009,41,687
2009,42,186
2009,43,310
2009,44,21
2009,45,24
2009,51,24
2009,52,70
2010,11,575
2010,12,2201
2010,13,44
2010,14,151
2010,15,165
2010,21,887
2010,22,58
2010,23,41
2010,24,160
2010,25,124
2010,26,48
2010,27,5
2010,32,534
2010,33,314
2010,41,740
2010,42,144
2010,43,347
2010,44,21
2010,45,26
2010,51,19
2010,52,24
2011,11,504
2011,12,2076
2011,13,61
2011,14,138
2011,15,138
2011,21,772
2011,22,67
2011,23,44
2011,24,157
2011,25,130
2011,26,60
2011,27,4
2011,32,405
2011,33,316
2011,41,762
2011,42,137
2011,43,360
2011,44,16
2011,45,22
2011,51,19
2011,52,34
2012,11,686
2012,12,2060
2012,13,105
2012,14,144
2012,15,123
2012,21,868
2012,22,75
2012,23,38
2012,24,148
2012,25,101
2012,26,76
2012,27,13
2012,32,429
2012,33,312
2012,41,727
2012,42,171
2012,43,337
2012,44,26
2012,45,38
2012,51,21
2012,52,89
2012,62,2
2012,72,4
2013,11,650
2013,12,1853
2013,13,129
2013,14,135
2013,15,95
2013,16,3
2013,21,625
2013,22,69
2013,23,34
2013,24,136
2013,25,117
2013,26,41
2013,27,7
2013,32,328
2013,33,324
2013,41,753
2013,42,159
2013,43,277
2013,44,21
2013,45,26
2013,51,22
2013,52,61
2013,61,5
2013,62,13
2013,71,23
2013,72,8
2014,11,595
2014,12,1630
2014,13,130
2014,14,140
2014,15,82
2014,16,3
2014,21,609
2014,22,64
2014,23,25
2014,24,154
2014,25,108
2014,26,46
2014,27,11
2014,32,305
2014,33,343
2014,41,600
2014,42,129
2014,43,241
2014,44,18
2014,45,30
2014,51,24
2014,52,61
2014,61,10
2014,62,23
2014,71,58
2014,72,40
2015,11,613
2015,12,1760
2015,13,131
2015,14,114
2015,15,113
2015,16,4
2015,21,666
2015,22,53
2015,23,37
2015,24,258
2015,25,96
2015,26,51
2015,27,3
2015,28,8
2015,29,1
2015,31,39
2015,32,299
2015,33,257
2015,41,668
2015,42,137
2015,43,204
2015,44,19
2015,45,31
2015,51,44
2015,52,31
2015,61,7
2015,62,17
2015,71,73
2015,72,41
2015,81,48
2015,82,15
2015,83,1
2015,84,5
2015,85,6
2016,11,746
2016,12,1789
2016,13,158
2016,14,114
2016,15,142
2016,16,9
2016,21,695
2016,22,62
2016,23,16
2016,24,308
2016,25,79
2016,26,34
2016,27,5
2016,28,7
2016,29,2
2016,31,56
2016,32,351
2016,33,228
2016,41,699
2016,42,131
2016,43,248
2016,44,20
2016,45,23
2016,51,42
2016,52,59
2016,61,7
2016,62,22
2016,71,106
2016,72,20
2016,81,32
2016,82,36
2016,83,1
2016,84,11
2016,85,10
2017,11,710
2017,12,2061
2017,13,244
2017,14,131
2017,15,190
2017,16,14
2017,21,977
2017,22,70
2017,23,42
2017,24,284
2017,25,85
2017,26,51
2017,27,6
2017,28,12
2017,29,7
2017,31,105
2017,32,442
2017,33,278
2017,41,685
2017,42,133
2017,43,287
2017,44,33
2017,45,24
2017,51,66
2017,52,89
2017,61,25
2017,62,47
2017,71,117
2017,72,13
2017,81,22
2017,82,24
2017,83,15
2017,84,10
2017,85,18
2018,11,806
2018,12,1954
2018,13,191
2018,14,150
2018,15,136
2018,16,14
2018,21,872
2018,22,52
2018,23,34
2018,24,193
2018,25,91
2018,26,53
2018,27,3
2018,28,8
2018,29,10
2018,31,84
2018,32,500
2018,33,271
2018,41,753
2018,42,133
2018,43,310
2018,44,19
2018,45,20
2018,51,61
2018,52,105
2018,61,25
2018,62,38
2018,71,147
2018,72,27
2018,81,32
2018,82,52
2018,83,9
2018,84,14
2018,85,47
2018,99,1
2019,11,727
2019,12,2168
2019,13,132
2019,14,188
2019,15,143
2019,16,28
2019,21,1102
2019,22,72
2019,23,27
2019,24,193
2019,25,91
2019,26,45
2019,27,7
2019,28,13
2019,29,7
2019,31,119
2019,32,570
2019,33,373
2019,41,819
2019,42,130
2019,43,325
2019,44,21
2019,45,30
2019,51,56
2019,52,116
2019,61,24
2019,62,68
2019,71,168
2019,72,69
2019,81,48
2019,82,62
2019,83,7
2019,84,10
2019,85,70
