state,year,biasmo1,hate_crimes,fstate
1,1992,11,1,
1,1992,12,3,
1,1993,11,1,
1,1993,12,4,
1,2002,11,1,
1,2002,12,1,
1,2003,12,1,
1,2004,12,3,
1,2006,12,1,
1,2007,12,4,
1,2007,14,1,
1,2007,41,1,
1,2008,11,1,
1,2008,12,5,
1,2008,24,1,
1,2008,25,1,
1,2008,32,1,
1,2008,41,2,
1,2009,12,5,
1,2009,15,1,
1,2009,21,1,
1,2009,41,1,
1,2009,43,1,
1,2010,11,1,
1,2010,12,11,
1,2010,25,1,
1,2010,26,1,
1,2010,32,1,
1,2010,33,2,
1,2010,41,2,
1,2011,11,20,
1,2011,12,31,
1,2011,13,1,
1,2011,14,1,
1,2011,15,5,
1,2011,21,2,
1,2011,26,3,
1,2011,32,8,
1,2011,33,3,
1,2011,41,4,
1,2011,43,2,
1,2011,44,1,
1,2011,52,2,
1,2012,12,3,
1,2012,25,1,
1,2012,26,1,
1,2012,32,1,
1,2013,12,4,
1,2013,15,1,
1,2013,41,1,
1,2014,11,2,
1,2014,12,3,
1,2014,13,1,
1,2014,14,1,
1,2014,21,1,
1,2014,32,1,
1,2015,11,1,
1,2015,12,7,
1,2015,41,2,
1,2016,11,1,
1,2016,12,8,
1,2016,13,1,
1,2016,15,1,
1,2016,26,1,
1,2016,32,1,
1,2016,42,1,
1,2017,11,4,
1,2017,12,7,
1,2017,24,1,
1,2017,32,2,
1,2018,12,2,
1,2019,11,1,
1,2019,12,2,
1,2019,41,1,
1,2019,82,1,
2,1992,11,22,
2,1992,12,69,
2,1992,13,3,
2,1992,14,8,
2,1992,15,2,
2,1992,21,17,
2,1992,25,1,
2,1992,32,14,
2,1992,33,5,
2,1992,41,24,
2,1992,42,4,
2,1992,43,3,
2,1993,11,34,
2,1993,12,87,
2,1993,13,1,
2,1993,14,9,
2,1993,15,5,
2,1993,21,23,
2,1993,22,1,
2,1993,23,1,
2,1993,25,4,
2,1993,32,21,
2,1993,33,9,
2,1993,41,11,
2,1993,42,2,
2,1994,11,23,
2,1994,12,72,
2,1994,13,1,
2,1994,14,6,
2,1994,15,4,
2,1994,21,28,
2,1994,22,3,
2,1994,23,1,
2,1994,25,8,
2,1994,32,22,
2,1994,33,7,
2,1994,41,23,
2,1994,42,3,
2,1994,43,4,
2,1995,11,27,
2,1995,12,89,
2,1995,13,1,
2,1995,14,9,
2,1995,15,8,
2,1995,21,18,
2,1995,22,3,
2,1995,23,1,
2,1995,25,2,
2,1995,32,16,
2,1995,33,7,
2,1995,41,36,
2,1995,42,3,
2,1996,11,22,
2,1996,12,109,
2,1996,13,2,
2,1996,14,5,
2,1996,15,9,
2,1996,21,31,
2,1996,23,1,
2,1996,25,4,
2,1996,32,26,
2,1996,33,6,
2,1996,41,28,
2,1996,42,5,
2,1996,43,2,
2,1997,11,38,
2,1997,12,123,
2,1997,13,3,
2,1997,14,8,
2,1997,15,19,
2,1997,21,26,
2,1997,22,2,
2,1997,23,4,
2,1997,24,3,
2,1997,25,6,
2,1997,26,1,
2,1997,32,36,
2,1997,33,6,
2,1997,41,44,
2,1997,42,5,
2,1997,43,6,
2,1998,11,13,
2,1998,12,103,
2,1998,13,4,
2,1998,14,6,
2,1998,15,23,
2,1998,21,30,
2,1998,22,2,
2,1998,23,3,
2,1998,24,1,
2,1998,25,7,
2,1998,26,2,
2,1998,32,28,
2,1998,33,4,
2,1998,41,33,
2,1998,42,16,
2,1998,43,7,
2,1998,51,1,
2,1999,11,11,
2,1999,12,93,
2,1999,13,1,
2,1999,14,10,
2,1999,15,21,
2,1999,21,25,
2,1999,22,2,
2,1999,24,2,
2,1999,25,7,
2,1999,26,3,
2,1999,32,24,
2,1999,33,10,
2,1999,41,37,
2,1999,42,4,
2,1999,43,2,
2,2000,11,11,
2,2000,12,79,
2,2000,13,4,
2,2000,14,5,
2,2000,15,30,
2,2000,21,22,
2,2000,22,3,
2,2000,24,1,
2,2000,25,4,
2,2000,32,31,
2,2000,33,5,
2,2000,41,36,
2,2000,42,3,
2,2000,43,5,
2,2000,51,1,
2,2001,11,13,
2,2001,12,112,
2,2001,13,5,
2,2001,14,5,
2,2001,15,24,
2,2001,21,21,
2,2001,22,1,
2,2001,23,2,
2,2001,24,23,
2,2001,25,8,
2,2001,32,51,
2,2001,33,77,
2,2001,41,31,
2,2001,42,2,
2,2001,43,9,
2,2002,11,11,
2,2002,12,68,
2,2002,13,3,
2,2002,14,9,
2,2002,15,15,
2,2002,21,14,
2,2002,22,5,
2,2002,23,1,
2,2002,24,6,
2,2002,25,5,
2,2002,26,1,
2,2002,32,27,
2,2002,33,20,
2,2002,41,37,
2,2002,42,6,
2,2002,43,8,
2,2002,51,1,
2,2002,52,1,
2,2003,11,7,
2,2003,12,68,
2,2003,13,3,
2,2003,15,21,
2,2003,21,26,
2,2003,22,6,
2,2003,24,9,
2,2003,25,8,
2,2003,26,3,
