state,year,biasmo1,hate_crimes,fstate,merge_year,YEAR,Population,hate_crimes_per_100000
1,1992,11,1,1,1990,1990,4032992,0.024795486824670122
1,1992,12,3,1,1990,1990,4032992,0.07438646047401036
1,1993,11,1,1,1990,1990,4032992,0.024795486824670122
1,1993,12,4,1,1990,1990,4032992,0.09918194729868049
1,2002,11,1,1,2000,2000,4446543,0.02248938107649021
1,2002,12,1,1,2000,2000,4446543,0.02248938107649021
1,2003,12,1,1,2000,2000,4446543,0.02248938107649021
1,2004,12,3,1,2000,2000,4446543,0.06746814322947062
1,2006,12,1,1,2000,2000,4446543,0.02248938107649021
1,2007,12,4,1,2000,2000,4446543,0.08995752430596084
1,2007,14,1,1,2000,2000,4446543,0.02248938107649021
1,2007,41,1,1,2000,2000,4446543,0.02248938107649021
1,2008,11,1,1,2000,2000,4446543,0.02248938107649021
1,2008,12,5,1,2000,2000,4446543,0.11244690538245104
1,2008,24,1,1,2000,2000,4446543,0.02248938107649021
1,2008,25,1,1,2000,2000,4446543,0.02248938107649021
1,2008,32,1,1,2000,2000,4446543,0.02248938107649021
1,2008,41,2,1,2000,2000,4446543,0.04497876215298042
1,2009,12,5,1,2000,2000,4446543,0.11244690538245104
1,2009,15,1,1,2000,2000,4446543,0.02248938107649021
1,2009,21,1,1,2000,2000,4446543,0.02248938107649021
1,2009,41,1,1,2000,2000,4446543,0.02248938107649021
1,2009,43,1,1,2000,2000,4446543,0.02248938107649021
1,2010,11,1,1,2010,2010,4785298,0.020897340144751697
1,2010,12,11,1,2010,2010,4785298,0.22987074159226867
1,2010,25,1,1,2010,2010,4785298,0.020897340144751697
1,2010,26,1,1,2010,2010,4785298,0.020897340144751697
1,2010,32,1,1,2010,2010,4785298,0.020897340144751697
1,2010,33,2,1,2010,2010,4785298,0.041794680289503394
1,2010,41,2,1,2010,2010,4785298,0.041794680289503394
1,2011,11,20,1,2010,2010,4785298,0.4179468028950339
1,2011,12,31,1,2010,2010,4785298,0.6478175444873026
1,2011,13,1,1,2010,2010,4785298,0.020897340144751697
1,2011,14,1,1,2010,2010,4785298,0.020897340144751697
1,2011,15,5,1,2010,2010,4785298,0.10448670072375847
1,2011,21,2,1,2010,2010,4785298,0.041794680289503394
1,2011,26,3,1,2010,2010,4785298,0.06269202043425508
1,2011,32,8,1,2010,2010,4785298,0.16717872115801358
1,2011,33,3,1,2010,2010,4785298,0.06269202043425508
1,2011,41,4,1,2010,2010,4785298,0.08358936057900679
1,2011,43,2,1,2010,2010,4785298,0.041794680289503394
1,2011,44,1,1,2010,2010,4785298,0.020897340144751697
1,2011,52,2,1,2010,2010,4785298,0.041794680289503394
1,2012,12,3,1,2010,2010,4785298,0.06269202043425508
1,2012,25,1,1,2010,2010,4785298,0.020897340144751697
1,2012,26,1,1,2010,2010,4785298,0.020897340144751697
1,2012,32,1,1,2010,2010,4785298,0.020897340144751697
1,2013,12,4,1,2010,2010,4785298,0.08358936057900679
1,2013,15,1,1,2010,2010,4785298,0.020897340144751697
1,2013,41,1,1,2010,2010,4785298,0.020897340144751697
1,2014,11,2,1,2010,2010,4785298,0.041794680289503394
1,2014,12,3,1,2010,2010,4785298,0.06269202043425508
1,2014,13,1,1,2010,2010,4785298,0.020897340144751697
1,2014,14,1,1,2010,2010,4785298,0.020897340144751697
1,2014,21,1,1,2010,2010,4785298,0.020897340144751697
1,2014,32,1,1,2010,2010,4785298,0.020897340144751697
1,2015,11,1,1,2010,2010,4785298,0.020897340144751697
1,2015,12,7,1,2010,2010,4785298,0.14628138101326188
1,2015,41,2,1,2010,2010,4785298,0.041794680289503394
1,2016,11,1,1,2010,2010,4785298,0.020897340144751697
1,2016,12,8,1,2010,2010,4785298,0.16717872115801358
1,2016,13,1,1,2010,2010,4785298,0.020897340144751697
1,2016,15,1,1,2010,2010,4785298,0.020897340144751697
1,2016,26,1,1,2010,2010,4785298,0.020897340144751697
1,2016,32,1,1,2010,2010,4785298,0.020897340144751697
1,2016,42,1,1,2010,2010,4785298,0.020897340144751697
1,2017,11,4,1,2010,2010,4785298,0.08358936057900679
1,2017,12,7,1,2010,2010,4785298,0.14628138101326188
1,2017,24,1,1,2010,2010,4785298,0.020897340144751697
1,2017,32,2,1,2010,2010,4785298,0.041794680289503394
1,2018,12,2,1,2010,2010,4785298,0.041794680289503394
1,2019,11,1,1,2010,2010,4785298,0.020897340144751697
1,2019,12,2,1,2010,2010,4785298,0.041794680289503394
1,2019,41,1,1,2010,2010,4785298,0.020897340144751697
1,2019,82,1,1,2010,2010,4785298,0.020897340144751697
2,1992,11,22,4,1990,1990,3652849,0.6022696257085908
2,1992,12,69,4,1990,1990,3652849,1.8889365533587619
2,1992,13,3,4,1990,1990,3652849,0.08212767623298964
2,1992,14,8,4,1990,1990,3652849,0.21900713662130572
2,1992,15,2,4,1990,1990,3652849,0.05475178415532643
2,1992,21,17,4,1990,1990,3652849,0.4653901653202747
2,1992,25,1,4,1990,1990,3652849,0.027375892077663215
2,1992,32,14,4,1990,1990,3652849,0.38326248908728505
2,1992,33,5,4,1990,1990,3652849,0.13687946038831608
2,1992,41,24,4,1990,1990,3652849,0.6570214098639171
2,1992,42,4,4,1990,1990,3652849,0.10950356831065286
2,1992,43,3,4,1990,1990,3652849,0.08212767623298964
2,1993,11,34,4,1990,1990,3652849,0.9307803306405494
2,1993,12,87,4,1990,1990,3652849,2.3817026107566996
2,1993,13,1,4,1990,1990,3652849,0.027375892077663215
2,1993,14,9,4,1990,1990,3652849,0.24638302869896894
2,1993,15,5,4,1990,1990,3652849,0.13687946038831608
2,1993,21,23,4,1990,1990,3652849,0.629645517786254
2,1993,22,1,4,1990,1990,3652849,0.027375892077663215
2,1993,23,1,4,1990,1990,3652849,0.027375892077663215
2,1993,25,4,4,1990,1990,3652849,0.10950356831065286
2,1993,32,21,4,1990,1990,3652849,0.5748937336309276
2,1993,33,9,4,1990,1990,3652849,0.24638302869896894
2,1993,41,11,4,1990,1990,3652849,0.3011348128542954
2,1993,42,2,4,1990,1990,3652849,0.05475178415532643
2,1994,11,23,4,1990,1990,3652849,0.629645517786254
2,1994,12,72,4,1990,1990,3652849,1.9710642295917515
2,1994,13,1,4,1990,1990,3652849,0.027375892077663215
2,1994,14,6,4,1990,1990,3652849,0.16425535246597928
2,1994,15,4,4,1990,1990,3652849,0.10950356831065286
2,1994,21,28,4,1990,1990,3652849,0.7665249781745701
2,1994,22,3,4,1990,1990,3652849,0.08212767623298964
2,1994,23,1,4,1990,1990,3652849,0.027375892077663215
2,1994,25,8,4,1990,1990,3652849,0.21900713662130572
