REC_BH	STATNUM	ORI	BINCIDNO	ORIADDDT	ORINIBRS	CITY	STATECOD	POPGRP	DIVISN	REGION	AGINDIC	CORECTY	COVBYORI	FIELDNO	JUDDIST	NBRSFLG	INACTDTE	POP1	COUNTY1	MSA1	LSTPOP1	POP2	COUNTY2	MSA2	LSTPOP2	POP3	COUNTY3	MSA3	LSTPOP3	POP4	COUNTY4	MSA4	LSTPOP4	POP5	COUNTY5	MSA5	LSTPOP5	MASTERYR	QTR1ACT	QTR2ACT	QTR3ACT	QTR4ACT	F1QACT	F2QACT	F3QACT	F4QACT	AGNAME	CFIPS1	CFIPS2	CFIPS3	CFIPS4	CFIPS5	HC_FLAG
BH	50	AK0010100	 	19910430	 	ANCHORAGE	AK	1C	9	4	1	N	 	3030	020A	 	 	255634	 	37	254774	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	ANCHORAGE	 	 	 	 	 	1
BH	50	AK0010200	 	19910430	 	FAIRBANKS	AK	4	9	4	1	N	 	3030	020A	 	 	34490	 	 	34377	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	FAIRBANKS	 	 	 	 	 	0
BH	50	AK0010300	 	19910430	 	JUNEAU	AK	4	9	4	1	N	 	3030	020A	 	 	28899	 	 	28805	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	JUNEAU	 	 	 	 	 	0
BH	50	AK0010400	 	19910430	 	KETCHIKAN	AK	6	9	4	1	N	 	3030	 	 	 	8823	 	 	8795	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	KETCHIKAN	 	 	 	 	 	0
BH	50	AK0010500	 	19910430	 	KODIAK	AK	6	9	4	1	N	 	3030	020A	 	 	7178	 	 	7155	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	KODIAK	 	 	 	 	 	0
BH	50	AK0010600	 	19910430	 	NOME	AK	6	9	4	1	N	 	3030	020A	 	 	3565	 	 	3554	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	NOME	 	 	 	 	 	0
BH	50	AK0010700	 	19910430	 	PETERSBURG	AK	6	9	4	1	N	 	3030	020A	 	 	3207	 	 	3197	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	PETERSBURG	 	 	 	 	 	0
BH	50	AK0010800	 	19910430	 	SEWARD	AK	6	9	4	1	N	 	3030	020A	 	 	2994	 	 	2985	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	SEWARD	 	 	 	 	 	0
BH	50	AK0010900	 	19910430	 	SITKA	AK	6	9	4	1	N	 	3030	020A	 	 	8822	 	 	8794	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	SITKA	 	 	 	 	 	0
BH	50	AK0011000	 	19910430	 	SKAGWAY	AK	7	9	4	1	N	 	3030	020A	 	 	771	 	 	769	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	 	 	 	 	 	 	 	 	SKAGWAY	 	 	 	 	 	0
